control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_patricia,2003,75480.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2003,61178.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2003,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2003,0.0,brancas_rosadas,rosadas,,,,0
tintas,2004,49698.0,tintas,,,,,1
tintas_alphonse_lavallee,2004,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2004,49698.0,tintas,mosem,,,,0
brancas,2004,73187.0,brancas,,,,,1
brancas_rosadas_cardinal,2004,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2004,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2004,6172.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2004,33155.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2004,33860.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2004,0.0,brancas_rosadas,rosadas,,,,0
tintas,2005,49820.0,tintas,,,,,1
tintas_alphonse_lavallee,2005,1500.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2005,48320.0,tintas,mosem,,,,0
brancas,2005,39470.0,brancas,,,,,1
brancas_rosadas_cardinal,2005,1620.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2005,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2005,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2005,32105.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2005,1630.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2005,4115.0,brancas_rosadas,rosadas,,,,0
tintas,2006,36105.0,tintas,,,,,1
tintas_alphonse_lavallee,2006,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2006,36105.0,tintas,mosem,,,,0
brancas,2006,17889.0,brancas,,,,,1
brancas_rosadas_cardinal,2006,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2006,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2006,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2006,14569.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2006,3320.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2006,0.0,brancas_rosadas,rosadas,,,,0
tintas,2007,66970.0,tintas,,,,,1
tintas_alphonse_lavallee,2007,0.0,tintas,alphonse,,,,0
